label,message,,
ham,"Hi, how are you doing today?",,
spam,Congratulations! You have won a free lottery ticket. Call now!,,
ham,Let's meet for lunch tomorrow,,
spam,Win cash now!!! Limited offer,,
ham,Can you send me the notes?,,
label,message,,
ham,"Hi, how are you doing today?",,
spam,Congratulations! You have won a free lottery ticket. Call now!,,
ham,Let's meet for lunch tomorrow,,
spam,Win cash now!!! Limited offer,,
ham,Can you send me the notes?,,
label,message,,
ham,"Hi, how are you doing today?",,
spam,Congratulations! You have won a free lottery ticket. Call now!,,
ham,Let's meet for lunch tomorrow,,
spam,Win cash now!!! Limited offer,,
label,message,,
ham,"Hi, how are you doing today?",,
spam,Congratulations! You have won a free lottery ticket. Call now!,,
ham,Let's meet for lunch tomorrow,,
spam,Win cash now!!! Limited offer,,
ham,Can you send me the notes?,,
label,message,,
ham,"Hi, how are you doing today?",,
spam,Congratulations! You have won a free lottery ticket. Call now!,,
ham,Let's meet for lunch tomorrow,,
spam,Win cash now!!! Limited offer,,
ham,Can you send me the notes?,,
label,message,,
ham,"Hi, how are you doing today?",,
spam,Congratulations! You have won a free lottery ticket. Call now!,,
ham,Let's meet for lunch tomorrow,,
spam,Win cash now!!! Limited offer,,
label,message,,
ham,"Hi, how are you doing today?",,
spam,Congratulations! You have won a free lottery ticket. Call now!,,
ham,Let's meet for lunch tomorrow,,
spam,Win cash now!!! Limited offer,,
ham,Can you send me the notes?,,
label,message,,
ham,"Hi, how are you doing today?",,
spam,Congratulations! You have won a free lottery ticket. Call now!,,
ham,Let's meet for lunch tomorrow,,
spam,Win cash now!!! Limited offer,,
ham,Can you send me the notes?,,
label,message,,
ham,"Hi, how are you doing today?",,
spam,Congratulations! You have won a free lottery ticket. Call now!,,
ham,Let's meet for lunch tomorrow,,
spam,Win cash now!!! Limited offer,,
